"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.0","-0.0305169","0.00874746","0.0526797","0.0205678","1.54477"
"0","0.0","-0.0704904","0.0337408","0.0550867","0.0594016","2.02693"
"1","0.0","-0.0863378","0.0598002","0.05945","0.056696","2.36681"
"1","0.0","-0.0699573","0.0574577","0.0376281","0.0474216","2.61412"
"1","0.0","-0.0643695","0.0469994","0.0295517","0.0465238","2.72212"
"1","0.0","-0.0572124","0.0379555","0.0227786","0.0399892","2.78167"
"1","0.0","-0.0498309","0.0277652","0.0174039","0.0332376","2.80892"
"1","1.0","-0.783195","0.387631","0.132162","0.209538","3.53596"
"2","0.0","0.25735","-0.413957","0.382124","-0.459913","3.42519"
"0","1.0","0.541872","-0.595678","0.406146","-0.591511","4.32608"
"1","0.0","-0.385062","0.376419","0.378364","-0.442814","3.60242"
"2","1.0","0.151955","0.101976","0.336333","-0.812717","3.55517"
"2","0.0","-0.122673","-0.0068345","0.0352412","-0.0727482","2.83396"
"1","0.0","-0.0714957","-0.0327181","-0.0325826","-0.0504349","2.84507"
"3","0.0","-0.0706826","-0.056225","-0.0740358","-0.00215355","2.91343"
"3","0.0","-0.0365506","-0.0865521","-0.0739106","0.0184469","2.96976"
"3","0.0","-0.53349","0.332836","-0.464074","0.525784","3.61692"
"1","1.0","-0.717874","0.311785","0.0542824","0.119253","3.51692"
"3","-1.0","0.128297","0.12801","0.0745549","-0.634346","2.6333"
"0","0.0","0.156481","0.115019","0.154518","-0.677285","2.63416"
"3","0.0","-0.0546305","-0.107591","-0.0256878","-0.00565857","2.91444"
"1","-1.0","0.147392","-0.69649","0.139743","0.195674","2.73129"
"2","0.0","0.0216494","-0.100198","-0.120964","0.030938","2.8796"
"0","0.0","0.0404738","-0.161218","-0.0567107","0.0227061","2.96086"
"3","0.0","0.0189794","-0.126061","-0.0551506","0.0271936","3.04015"
"0","0.0","0.0320545","-0.124098","-0.04896","0.0149836","3.0114"
"0","0.0","0.0383831","-0.116783","-0.0438824","0.00935234","2.97385"
"0","0.0","0.0357377","-0.102758","-0.0388146","0.00732231","2.94123"
"0","1.0","0.48135","-0.893121","0.0986097","0.111217","3.76494"
"3","0.0","0.00244096","-0.0659464","-0.0464","0.0409437","3.02133"
"2","0.0","0.231832","0.13925","0.304509","-0.774931","2.74996"
"2","0.0","-0.0311514","-0.100437","0.0597378","-0.00490574","2.90134"
"3","0.0","-0.0151135","-0.0836603","-0.0161433","0.0352954","2.85484"
"3","0.0","-0.0290762","-0.0555435","-0.0350805","0.0497439","2.86773"
"2","0.0","0.189335","0.172799","0.269056","-0.723988","2.66504"
"3","0.0","-0.073368","-0.0595603","0.0304418","0.0441792","2.86908"
"3","-1.0","0.169627","0.174972","0.281401","-0.714978","2.64985"
"3","1.0","0.110621","0.00998712","-0.793078","0.425777","3.70125"
"3","0.0","-0.0922676","-0.0236096","-0.0336497","0.0599218","2.94186"
"1","0.0","-0.0856234","0.0434814","-0.0249249","0.000378421","2.95048"
"1","0.0","-0.0589291","0.0375067","0.0143144","-0.0338393","2.9337"
"0","0.0","-0.0366449","0.0346873","0.0530989","-0.06766","2.93074"
"2","0.0","-0.0188914","0.0313329","0.0902476","-0.0993874","2.93033"
"2","0.0","-0.0232885","0.0154752","0.0896703","-0.0644301","2.97326"
"2","0.0","-0.000979866","-0.0121647","0.0911464","-0.0682099","2.96082"
"1","0.0","0.00890832","-0.0265497","0.0818137","-0.0659228","2.93802"
"1","0.0","0.0119961","-0.0342855","0.0682758","-0.0593209","2.91133"
"2","0.0","0.0108497","-0.0374405","0.0535099","-0.0500366","2.88645"
"1","0.0","0.00739983","-0.037687","0.0395367","-0.0397233","2.86539"
"2","0.0","0.00297592","-0.036179","0.0274244","-0.0296438","2.84857"
