"ACTION","REWARD","A0","A1","A2","V"
"2","0.0","-0.0106514","-0.0270872","0.0360941","0.680496"
"0","0.0","-0.00457853","-0.00927586","-0.00685934","0.850162"
"0","0.0","-0.0127869","-0.00646494","-0.0158177","0.921069"
"1","0.0","-0.0185546","-0.000203634","-0.0248286","0.960395"
"1","0.0","-0.0203857","-0.00135069","-0.0234963","0.978893"
"1","0.0","-0.0193922","-0.00293723","-0.0204878","0.984816"
"1","0.0","-0.01799","-0.00299961","-0.0181306","0.985554"
"2","0.0","-0.0201209","-0.00797207","-0.00709604","0.98434"
"2","0.0","-0.0154398","-0.00743176","-0.00678998","0.989754"
"2","0.0","-0.0158683","-0.00231113","-0.00700587","0.995001"
"1","0.0","-0.0154869","0.00094092","-0.0077586","0.99485"
"0","0.0","0.010744","-0.00823896","-0.0239344","0.995017"
"2","0.0","-0.00502294","-0.00846318","-0.00274325","0.990329"
"0","0.0","-0.00883161","-0.000188104","-0.00653562","0.986518"
"2","0.0","-0.0060867","-0.00322913","0.0169346","0.974601"
"1","0.0","-0.00819012","0.00924827","0.00723949","0.981076"
"2","0.0","-0.0039496","-0.00944517","0.0045351","0.96423"
"2","0.0","0.00131538","-0.0177227","0.010578","0.94887"
"2","0.0","0.00618247","-0.033058","0.0326269","0.916123"
"2","0.0","-0.0166898","-0.0163902","0.0467563","0.904549"
"2","1.0","-0.0110901","-0.0280546","0.053881","0.888821"
"0","0.0","0.0249223","-0.00453183","-0.00448991","-0.0229974"
"2","0.0","-0.00196767","0.0131479","0.0168697","-0.0167829"
"1","0.0","-0.0035666","0.0161651","0.0133044","-0.0112343"
"0","0.0","0.0179297","-0.0057223","0.00200148","-0.0300351"
"2","0.0","0.011377","-0.00108295","0.00825781","-0.0119694"
"2","0.0","0.00695497","0.00653568","0.00308317","-0.0173064"
"2","0.0","0.0122937","-0.00462453","0.00372809","-0.0221771"
"1","0.0","0.0169243","-0.00268387","-0.010578","-0.049961"
"0","0.0","0.033464","-0.0282655","-0.00829812","-0.0417851"
"0","0.0","0.0243634","-0.0172256","-0.0092011","-0.037635"
"1","0.0","-0.00449289","0.0118322","-0.00882098","-0.0152379"
"0","0.0","0.00730517","-0.00775187","-0.00657563","-0.0240069"
"1","0.0","-0.00668215","0.00901709","-0.00864394","-0.0187349"
"0","0.0","0.017309","-0.021835","-0.00738593","-0.0332617"
"1","0.0","-0.00410941","0.00536524","-0.00847949","-0.0183421"
"0","0.0","0.0156534","-0.0151458","-0.00859921","-0.0450293"
"0","0.0","0.00940053","0.00593892","-0.0176577","-0.0487752"
"0","0.0","0.0105731","-0.0106961","0.00116038","-0.0602339"
"0","0.0","0.0227097","-0.0140428","-0.00921791","-0.0168819"
"0","0.0","0.0940661","-0.0864473","-0.00353363","0.119344"
"0","0.0","0.158267","-0.135538","-0.0130759","0.227771"
"0","0.0","0.212668","-0.194947","0.00918247","0.413488"
"0","0.0","0.238169","-0.196639","-0.00506636","0.684193"
"0","0.0","0.194501","-0.171737","0.0213833","0.885309"
"0","0.0","0.119013","-0.0993337","0.0192455","0.954117"
